ds,Nuclear_indisponibility
1032,2014-10-29,3245.0
1033,2014-10-30,1825.0
1034,2014-10-31,1825.0
1035,2014-11-01,2495.0
1036,2014-11-02,2740.0
1037,2014-11-03,2340.0
1038,2014-11-04,1825.0
1039,2014-11-05,1985.0
1040,2014-11-06,1825.0
1041,2014-11-07,1825.0
1042,2014-11-08,1825.0
1043,2014-11-09,1825.0
1044,2014-11-10,1825.0
1045,2014-11-11,1825.0
1046,2014-11-12,1825.0
1047,2014-11-13,1825.0
1048,2014-11-14,1825.0
1049,2014-11-15,1825.0
1050,2014-11-16,1825.0
1051,2014-11-17,1825.0
1052,2014-11-18,1825.0
1053,2014-11-19,1825.0
1054,2014-11-20,3320.0
1055,2014-11-21,3320.0
1056,2014-11-22,3320.0
1057,2014-11-23,3320.0
1058,2014-11-24,1825.0
1059,2014-11-25,1825.0
